"listing_id","sale_price","usable_area","price_per_m2","suburb"
"2740287919","3500000","188","18617,02","Meia Praia"
"2693494334","871773","60","14529,55","Morretes"
"2692636068","2200000","135","16296,3","Meia Praia"
"2736416021","850000","90","9444,44","Meia Praia"
"2645785477","2920000","135","21629,63","Meia Praia"
"2746689524","891450","84","10612,5","Morretes"
"2746689523","748125","71","10536,97","Morretes"
"2706362011","2500000","193","12953,37","Meia Praia"
"2560637613","806000","70","11514,29","Morretes"
"2761579815","2600000","156","16666,67","Meia Praia"
"2655964158","1100000","78","14102,56","Andorinha"
"2757201119","1358747","122","11137,27","Andorinha"
"2579392413","750000","70","10714,29","Morretes"
"2603912396","1690000","163","10368,1","Andorinha"
"2581740500","802000","70","11457,14","Morretes"
"2698543208","950000","127","7480,31","Meia Praia"
"2511795506","1335806","115","11615,7","Meia Praia"
"2748954999","850000","87","9770,11","Castelo Branco"
"2736413655","1150000","72","15972,22","Morretes"
"2767255618","3298880","185","17831,78","Andorinha"
"2767580929","1380000","281","4911,03","Morretes"
"2700889302","3800000","158","24050,63","Meia Praia"
"2432459382","3000000","153","19607,84","Meia Praia"
"2711999408","995000","135","7370,37","Meia Praia"
"2764347230","737171","69","10683,64","Alto São Bento"
"2723233256","8733544","417","20943,75","Meia Praia"
"2741520863","869000","130","6684,62","Morretes"
"2765332326","2650000","500","5300","Meia Praia"
"2764631264","1500000","109","13761,47","Meia Praia"
"2736815025","568608","66","8615,27","Morretes"
"2754785414","1950000","144","13541,67","Meia Praia"
"2746883528","1550000","149","10402,68","Meia Praia"
"2608012734","1550000","118","13135,59","Centro"
"2521640909","2368607","142","16680,33","Meia Praia"
"2737657421","1298000","135","9614,81","Andorinha"
"2591565950","1440000","120","12000","Castelo Branco"
"2716669021","740000","119","6218,49","Morretes"
"2613183873","1490000","116","12844,83","Centro"
"2560637261","550000","80","6875","Morretes"
"2763105827","1165000","118","9872,88","Andorinha"
"2703529793","1450000","115","12608,7","Meia Praia"
"2566776287","1150000","97","11855,67","Meia Praia"
"2748550403","1500000","157","9554,14","Castelo Branco"
"2765548429","1218613","87","14007,05","Canto da Praia"
"2765619467","680000","70","9714,29","Morretes"
"2695571478","2300000","123","18699,19","Meia Praia"
"2757849917","850000","68","12500","Morretes"
"2729245113","694000","70","9914,29","Centro"
"2697457126","799000","115","6947,83","Andorinha"
"2764631666","1208000","120","10066,67","Centro"
"2675944016","4518860","205","22043,22","Meia Praia"
"2592169415","1200000","116","10344,83","Canto da Praia"
"2759271762","1580000","116","13620,69","Canto da Praia"
"2560637630","1198000","70","17114,29","Morretes"
"2693494822","865680","64","13526,25","Morretes"
"2757850523","795000","70","11357,14","Morretes"
"2619825865","1262166","121","10431,12","Castelo Branco"
"2560058933","9800000","180","54444,44","Meia Praia"
"2560637596","550000","70","7857,14","Morretes"
"2757201222","1394168","122","11427,61","Andorinha"
"2674711952","1230420","105","11718,29","Meia Praia"
"2560637072","595000","80","7437,5","Morretes"
"2749653722","673400","68","9902,94","Alto São Bento"
"2660940766","590000","70","8428,57","Morretes"
"2763748057","927000","69","13434,78","Morretes"
"2693495014","865014","64","13515,84","Morretes"
"2711631997","1400000","119","11764,71","Andorinha"
"2699586564","618000","70","8828,57","Morretes"
"2720232955","480000","65","7384,62","Morretes"
"2555701613","740000","69","10724,64","Morretes"
"2763105248","9998000","180","55544,44","Meia Praia"
"2657075810","5126275","202","25377,6","Meia Praia"
"2763173846","1790000","124","14435,48","Meia Praia"
"2718970637","557000","117","4760,68","Sertão do Trombudo"
"2664304796","789000","65","12138,46","Morretes"
"2684922851","1340000","127","10551,18","Andorinha"
"2743303126","950000","110","8636,36","Andorinha"
"2670862520","895000","80","11187,5","Meia Praia"
"2664863504","429000","70","6128,57","Morretes"
"2740008414","4900000","173","28323,7","Meia Praia"
"2714723207","650000","77","8441,56","Andorinha"
"2595766458","1500000","128","11718,75","Meia Praia"
"2765404536","3880000","157","24713,38","Meia Praia"
"2700106940","999000","88","11352,27","Meia Praia"
"2738794352","580000","270","2148,15","Morretes"
"2739865143","1880000","112","16785,71","Andorinha"
"2632574556","1300000","109","11926,61","Meia Praia"
"2672322885","2300000","164","14024,39","Andorinha"
"2681523497","660000","69","9565,22","Morretes"
"2764979922","1500000","133","11278,2","Meia Praia"
"2688799819","515000","66","7803,03","Morretes"
"2749529607","656240","69","9510,72","Jardim Praia Mar"
"2712474306","699208","40","17480,2","Andorinha"
"2728011539","525000","60","8750","Morretes"
"2761576355","1450000","100","14500","Meia Praia"
"2749230114","749000","70","10700","Casa Branca"
"2723364613","1490000","132","11287,88","Andorinha"
"2685613539","627296","70","8961,37","Jardim Praia Mar"
"2646999470","1590000","118","13474,58","Andorinha"
"2676414900","1299000","105","12371,43","Meia Praia"
"2569455788","600000","66","9090,91","Morretes"
"2662906033","848335","67","12661,72","Morretes"
"2560637318","550000","80","6875","Morretes"
"2620661463","895000","80","11187,5","Andorinha"
