"owner_id","qtd_linhas","linhas_identical","snapshot_dates"
"100747811","3","False","2025-01-13 02:17:07.000; 2025-01-13 02:21:21.000; 2025-01-13 02:45:44.000"
"96045548","6","False","2025-01-13 01:59:28.000; 2025-01-13 02:12:01.000; 2025-01-13 02:22:21.000; 2025-01-13 02:48:11.000; 2025-01-13 02:50:32.000; 2025-01-13 02:50:52.000"
"228737392","2","False","2025-01-13 02:22:23.000; 2025-01-13 02:45:44.000"
"252039796","2","False","2025-01-13 01:57:06.000; 2025-01-13 02:22:26.000"
"302395914","2","False","2025-01-13 02:09:08.000; 2025-01-13 02:22:26.000"
"218514766","2","False","2025-01-13 01:56:30.000; 2025-01-13 02:22:27.000"
"533685568","2","False","2025-01-13 02:22:33.000; 2025-01-13 02:39:52.000"
"274071036","2","False","2025-01-13 01:59:07.000; 2025-01-13 02:22:37.000"
"550084557","3","False","2025-01-13 02:22:37.000; 2025-01-13 02:28:42.000; 2025-01-13 02:50:57.000"
"281127168","4","False","2025-01-13 02:22:41.000; 2025-01-13 02:31:43.000; 2025-01-13 02:33:51.000; 2025-01-13 02:43:06.000"
"566105040","2","False","2025-01-13 02:02:15.000; 2025-01-13 02:25:13.000"
"569312114","3","False","2025-01-13 01:54:16.000; 2025-01-13 02:25:15.000; 2025-01-13 02:25:24.000"
"506593553","3","False","2025-01-13 02:25:18.000; 2025-01-13 02:25:59.000; 2025-01-13 02:38:09.000"
"267606175","12","False","2025-01-13 01:57:35.000; 2025-01-13 01:59:18.000; 2025-01-13 01:59:53.000; 2025-01-13 02:01:09.000; 2025-01-13 02:04:21.000; 2025-01-13 02:05:25.000; 2025-01-13 02:09:12.000; 2025-01-13 02:13:08.000; 2025-01-13 02:22:59.000; 2025-01-13 02:25:19.000; 2025-01-13 02:28:40.000; 2025-01-13 02:38:49.000"
"385831829","9","False","2025-01-13 01:58:30.000; 2025-01-13 02:05:55.000; 2025-01-13 02:07:35.000; 2025-01-13 02:14:30.000; 2025-01-13 02:21:15.000; 2025-01-13 02:25:20.000; 2025-01-13 02:40:11.000; 2025-01-13 02:43:44.000; 2025-01-13 02:49:41.000"
"162106468","2","False","2025-01-13 02:16:16.000; 2025-01-13 02:25:27.000"
"312939718","2","False","2025-01-13 02:15:14.000; 2025-01-13 02:25:29.000"
"232585108","3","False","2025-01-13 02:25:30.000; 2025-01-13 02:28:49.000; 2025-01-13 02:34:17.000"
"593474672","20","False","2025-01-13 01:57:09.000; 2025-01-13 01:59:24.000; 2025-01-13 01:59:30.000; 2025-01-13 02:02:44.000; 2025-01-13 02:03:33.000; 2025-01-13 02:07:24.000; 2025-01-13 02:07:37.000; 2025-01-13 02:08:23.000; 2025-01-13 02:18:50.000; 2025-01-13 02:19:41.000; 2025-01-13 02:25:30.000; 2025-01-13 02:26:48.000; 2025-01-13 02:30:55.000; 2025-01-13 02:33:03.000; 2025-01-13 02:36:23.000; 2025-01-13 02:38:53.000; 2025-01-13 02:39:16.000; 2025-01-13 02:44:31.000; 2025-01-13 02:50:23.000; 2025-01-13 02:58:19.000"
"115154732","2","False","2025-01-13 02:08:18.000; 2025-01-13 02:25:37.000"
"319665944","2","False","2025-01-13 01:56:58.000; 2025-01-13 02:25:38.000"
"110419832","8","False","2025-01-13 02:29:24.000; 2025-01-13 02:51:27.000; 2025-01-13 02:52:00.000; 2025-01-13 02:52:10.000; 2025-01-13 02:52:19.000; 2025-01-13 02:52:25.000; 2025-01-13 02:53:22.000; 2025-01-13 02:55:06.000"
"204983908","3","False","2025-01-13 02:52:37.000; 2025-01-13 02:53:29.000; 2025-01-13 02:56:36.000"
"122056455","2","False","2025-01-13 02:53:33.000; 2025-01-13 02:58:03.000"
"296517732","2","False","2025-01-13 02:30:14.000; 2025-01-13 02:53:46.000"
"65400201","2","False","2025-01-13 02:53:47.000; 2025-01-13 02:55:15.000"
"170624369","3","False","2025-01-13 02:52:09.000; 2025-01-13 02:53:59.000; 2025-01-13 02:54:03.000"
"221339864","4","False","2025-01-13 02:08:58.000; 2025-01-13 02:32:48.000; 2025-01-13 02:51:00.000; 2025-01-13 02:54:10.000"
"665407493","3","False","2025-01-13 02:12:19.000; 2025-01-13 02:21:02.000; 2025-01-13 02:54:11.000"
"588250573","4","False","2025-01-13 02:52:24.000; 2025-01-13 02:54:48.000; 2025-01-13 02:56:35.000; 2025-01-13 02:57:03.000"
"302814591","2","False","2025-01-13 02:06:42.000; 2025-01-13 02:55:02.000"
"473676692","2","False","2025-01-13 02:55:27.000; 2025-01-13 02:56:58.000"
"318023861","4","False","2025-01-13 02:52:56.000; 2025-01-13 02:54:22.000; 2025-01-13 02:55:43.000; 2025-01-13 02:56:12.000"
"108336055","4","False","2025-01-13 02:52:37.000; 2025-01-13 02:55:07.000; 2025-01-13 02:55:48.000; 2025-01-13 02:57:41.000"
"102517845","5","False","2025-01-13 01:55:16.000; 2025-01-13 02:15:50.000; 2025-01-13 02:42:49.000; 2025-01-13 02:47:17.000; 2025-01-13 02:56:40.000"
"146684625","2","False","2025-01-13 02:56:56.000; 2025-01-13 02:57:18.000"
"315838328","2","False","2025-01-13 02:56:58.000; 2025-01-13 02:57:02.000"
"58099520","2","False","2025-01-13 01:54:38.000; 2025-01-13 02:57:40.000"
"595919522","4","False","2025-01-13 02:30:29.000; 2025-01-13 02:37:26.000; 2025-01-13 02:56:27.000; 2025-01-13 02:57:44.000"
"157642052","2","False","2025-01-13 02:39:40.000; 2025-01-13 02:47:18.000"
"101494197","3","False","2025-01-13 02:08:01.000; 2025-01-13 02:46:23.000; 2025-01-13 02:47:22.000"
"519527555","2","False","2025-01-13 02:37:32.000; 2025-01-13 02:47:23.000"
"551991664","4","False","2025-01-13 01:59:36.000; 2025-01-13 02:20:08.000; 2025-01-13 02:35:45.000; 2025-01-13 02:48:03.000"
"424719219","2","False","2025-01-13 02:48:05.000; 2025-01-13 02:55:28.000"
"227366158","2","False","2025-01-13 02:48:06.000; 2025-01-13 02:58:15.000"
